Employee_ID,Name,Department,Join_Date,Email,Phone,Age,Gender,Address
1001,John Smith,Sales,2020-01-15,john.smith@company.com,9876543210,35,M,123 Main St
1002,Sarah Johnson,IT,2019-03-22,sarah.johnson@company.com,9876543211,32,F,456 Oak Ave
1003,Michael Brown,HR,2021-05-10,,9876543212,45,M,789 Pine Rd
1004,Emily Davis,Finance,2018-07-20,emily.davis@company.com,,28,F,321 Elm St
1005,Robert Wilson,Sales,2020-11-05,robert.wilson@company.com,9876543214,40,M,654 Maple Dr
1006,Jessica Martinez,IT,2019-02-14,jessica.martinez@company.com,9876543215,,F,987 Cedar Ln
1007,David Anderson,Operations,2021-04-08,david.anderson@company.com,9876543216,38,M,147 Birch Pl
1008,Lisa Taylor,Finance,2020-09-30,lisa.taylor@company.com,9876543217,31,F,258 Spruce Way
1009,James Thomas,Sales,,james.thomas@company.com,9876543218,42,M,369 Walnut St
1010,Patricia Jackson,Marketing,2019-06-18,patricia.jackson@company.com,9876543219,36,F,741 Hickory Ln
1011,Daniel White,IT,2021-01-25,daniel.white@company.com,9876543220,29,M,852 Ash Ct
1012,Mary Harris,Operations,2020-03-12,mary.harris@company.com,9876543221,44,F,963 Oak Dr
1013,Charles Martin,Sales,2018-08-20,,9876543222,50,M,147 Pine St
1014,Jennifer Thompson,Finance,2019-12-05,jennifer.thompson@company.com,9876543223,35,F,258 Elm Ave
1015,Joseph Garcia,IT,2020-05-18,joseph.garcia@company.com,,41,M,369 Maple Rd
1016,Barbara Lee,HR,2021-02-14,barbara.lee@company.com,9876543225,33,F,741 Cedar St
1017,Christopher Rodriguez,Marketing,2018-10-22,christopher.rodriguez@company.com,9876543226,48,M,852 Birch Ave
1018,Susan Clark,Sales,2020-07-08,susan.clark@company.com,9876543227,39,F,963 Spruce Ln
1019,Mark Lewis,Finance,2019-04-16,mark.lewis@company.com,,45,M,147 Walnut Dr
1020,Jessica Lee,IT,2021-03-20,jessica.lee@company.com,9876543229,28,F,258 Hickory St
1021,Donald Walker,Operations,2020-08-10,,9876543230,52,M,369 Ash Rd
1022,Karen Hall,Marketing,2018-11-15,karen.hall@company.com,9876543231,46,F,741 Oak Ln
1023,Steven Young,Sales,2019-09-25,steven.young@company.com,9876543232,37,M,852 Pine Ave
1024,Betty Allen,Finance,2020-02-03,betty.allen@company.com,,32,F,963 Elm Dr
